ASpace_ID,Names,Authority_ID,Source
1079,Magyar Jubileumi Népgazdasági Kiállitás,,
1080,"HUNGEXPO (Firm : Budapest, Hungary)",,lcnaf
1088,Nicholas Wilder Gallery,,naf
1206,Instituto Nacional de Arqueología (Bolivia),n 50075969,library of congress name authority file
1223,Steven Leiber (Gallery),,naf
1074,Stephen White Gallery of Photography,,library of congress name authority file
1005,AC Martin Partners,,library of congress name authority file
1218,Neuland-Verlag ,,
1219,Gross-Berliner-Arbeitsgemeinschaft für alkoholfreie Jugenderziehung,,
1220,Keltz & Meiners,,
1083,Adelphoi Zangaki (Firm),,lcnaf
1084,Lehnert & Landrock,,lcnaf
1214,Deutsche Bildkunst-Hilfe (Firm),,
1205,H. Meysel Nachfol. ,,
1245,Scowen & Co.,,lcnaf
1251,"Waitresses (Group of artists),",,ingest
1252,L.A. Artists for Survival,,lcnaf
1078,Pan-Presse,,library of congress name authority file
1089,"Gesellschaft für Vervielfältigende Kunst (Vienna, Austria)",,lcnaf
1210,Deutscher Guttempler-Orden,,lcnaf
1216,Kasseler Kunstverein,,lcnaf
1217,Sächsischer Kunstverein,,lcnaf
700,A. Asher & Co. ,,library of congress name authority file
1284,stella3. 324483BYA. O795MB953 (EFU672V : A980FCF) (Q832HI831),http://www.example3.com,nad
1285,stella4. 324483BYA. O795MB953 (EFU672V : A980FCF) (Q832HI831),http://www.example4.com,nad
1280,666 666 666 666. 324483BYA. O795MB953 (EFU672V : A980FCF) (Q832HI831),http://www.example-607.com,nad
1282,666 666 666 667. 324483BYA. O795MB953 (EFU672V : A980FCF) (Q832HI831),http://www.example7.com,nad
518,J. Paul Getty Trust. Building Program,,local
9,Getty Grant Program,,library of congress name authority file
12,Batey & Mack,,library of congress name authority file
17,Emmet L. Wemple and Associates,,local
18,Morley Construction Company,,
23,Mutter Ey G.m.b.H.,,library of congress name authority file
24,Association Connaissance de l'histoire de l'Afrique contemporaine,,library of congress name authority file
25,France. Armée. Méharistes,,library of congress name authority file
26,France. Armée. Tirailleurs sénégalais,,library of congress name authority file
27,France. Armée. Troupes coloniales,,library of congress name authority file
28,France. Armée. Troupes d'outre-mer,,
29,Exposition coloniale de Marseille (1906),,library of congress name authority file
30,Exposition coloniale de Marseille (1922),,
31,Exposition coloniale internationale de Paris (1931),,library of congress name authority file
32,A.D.I.A.,,
33,Atelier Cob,,
34,Atelier J. Fourastié,,
35,Atelier Salabert,,
36,Braun et compagnie,,
37,Casino (Firm),,library of congress name authority file
38,Chocolat Cémoi (Firm),,
39,Chocolat Pupier (Firm),,
40,Chocolat Suchard (firm),,
41,Chocolaterie d'Aiguebelle,,
42,La Cigogne (Firm),,
43,Collection idéale PS (Firm),,
44,Combier Imprimeur Mâcon,,library of congress name authority file
45,Compagnie alsacienne des arts photoméchaniques,,
46,Congopresse,,
47,Dupuy et compagnie,,
48,Eckstein-Halpaus,,library of congress name authority file
49,Edition Francis Salabert,,
50,"Imagerie Pellerin (Épinal, France)",,library of congress name authority file
51,Jomone,,
52,"Lévy, fils et compagnie",,
53,Ligue maritime et coloniale française,,
55,Office algérien d'action economique et touristique,,
56,Produits du Lion Noir,,
57,Service de l'information du Congo Belge,,
58,"Service spécial de police et sûreté, Soudan français",,
59,F. & O. Brockmann (Firm),,library of congress name authority file
62,Brooklyn Museum,,library of congress name authority file
64,Tennessee Valley Authority,,library of congress name authority file
65,Nicholas Grimshaw and Partners,,library of congress name authority file
66,"Bauhaus-Archiv, Museum für Gestaltung",,library of congress name authority file
68,Dordogne (France),,library of congress name authority file
69,Henry E. Huntington Library and Art Gallery,,library of congress name authority file
70,New York University. Institute of Fine Arts,,library of congress name authority file
71,Tamarind Lithography Workshop,,library of congress name authority file
73,Virginia Steele Scott Foundation,,
74,Virginia Steele Scott Gallery,,library of congress name authority file
75,Hirschl & Adler Galleries,,library of congress name authority file
76,Kennedy Galleries,,library of congress name authority file
77,Vose Galleries of Boston,,library of congress name authority file
78,Galerie Bonnier,,library of congress name authority file
79,"Svensk-franska konstgalleriet (Stockholm, Sweden) ",,library of congress name authority file
80,Berggruen & Cie,,library of congress name authority file
81,Galerie Durand-Ruel,,library of congress name authority file
82,Galerie Louis Carré,,library of congress name authority file
83,"MM. Bernheim Jeune & cie (Paris, France)",,library of congress name authority file
84,Musèe Rodin,,library of congress name authority file
85,Arnoldo Mondadori editore,,library of congress name authority file
86,Bompiani (Firm),,library of congress name authority file
87,"Barn of Great Coxwell (Great Coxwell, England)",,
88,Beaulieu Abbey,,library of congress name authority file
89,"Church of St. James and St. Paul  (Marton, Cheshire, England)",,
90,"Great Hall (Leicester Castle, Leicester, England)",,
91,"St. Mary's Hospital (Chichester, England)",,
92,"St. Oswald's Church (Lower Peover, England)",,
93,"Ter Doest (Cistercian abbey : Lissewege, Belgium)",,library of congress name authority file
94,United States. Army ,,library of congress name authority file
95,Musée des arts décoratifs (France),,library of congress name authority file
96,"Union centrale des arts décoratifs (Paris, France)",,library of congress name authority file
97,"Exposition universelle de 1889 (Paris, France)",,library of congress name authority file
99,International Congresses for Modern Architecture. Belgian Section ,,library of congress name authority file
100,Comité international pour la réalisation des problèmes d'architecture ,,library of congress name authority file
101,Team 10,,library of congress name authority file
102,International Congress for Modern Architecture (1st : 1928 : La Sarraz,,
103,International Congress for Modern Architecture (2nd : 1929 : Frankfurt,,
104,"International Congress for Modern Architecture (3rd : 1930 : Brussels,",,
105,"International Congress for Modern Architecture (4th : 1933 : Athens, G",,
106,"International Congress for Modern Architecture (5th : 1937 : Paris, Fr",,
107,International Congress for Modern Architecture (6th : 1947 : Bridgwate,,
108,"International Congress for Modern Architecture (7th : 1949 : Bergamo, ",,
109,International Congress for Modern Architecture (8th : 1951 : Hoddesdon,,
110,International Congress for Modern Architecture (9th : 1953 : Aix-en-Pr,,
111,"International Congress for Modern Architecture (10th : 1956 : Dubrovnik, Croatia)",,
112,8 (Group of architects),,library of congress name authority file
113,ASCORAL,,library of congress name authority file
114,British Council (Belgium),,library of congress name authority file
115,L'Equerre (Firm),,
116,Modern Architectural Research Group,,library of congress name authority file
117,Opbouw (Group of architects),,library of congress name authority file
118,Mayor Gallery,,library of congress name authority file
119,Museo del Prado,,library of congress name authority file
120,Tate Gallery,,library of congress name authority file
121,William and Noma Copley Foundation,,library of congress name authority file
122,"Parco mediceo di Pratolino (Pratolino, Italy)",,library of congress name authority file
123,Allard et Noel,,
124,Arnold et Tripp,,
125,Bague et Cie,,
126,"Boussod, Valadon & Cie",,library of congress name authority file
127,Galerie Georges Petit,,library of congress name authority file
128,Goupil & Cie,,library of congress name authority file
129,Le Roy et Cie,,
130,Tedesco Frères,,
131,"Society of Dilettanti (London, England)",,library of congress name authority file
133,Durlacher Bros.,,library of congress name authority file
134,Duveen Brothers,,library of congress name authority file
135,"F. Kleinberger Galleries (New York, N.Y.) ",,library of congress name authority file
136,"Wildenstein and Company (New York, N.Y.)",,library of congress name authority file
137,Thos. Agnew and Sons Ltd.,,library of congress name authority file
141,Deutscher Kunstverlag,,library of congress name authority file
142,Deutscher Werkbund,,library of congress name authority file
143,Neue Bauen,,
144,"Nicholas Roerich Museum (New York, N.Y.)",,library of congress name authority file
145,Robert and Wilhelm Langewiesche-Brandt Verlag,,
146,"Illustrated Weekly, Deutsch-Amerika",,
147,"House Six (Cornwall, Conn.)",,
148,"House VI (Cornwall, Conn.)",,
149,Eisenman Architects,,library of congress name authority file
150,British Museum,,library of congress name authority file
151,Ayasofya Müzesi,,library of congress name authority file
152,Harvard University. Graduate School of Design,,library of congress name authority file
153,Washington Cathedral,,library of congress name authority file
155,Banyan Press,,library of congress name authority file
156,Bennington College,,library of congress name authority file
157,Betty Parsons Gallery,,library of congress name authority file
158,Gotham Book Mart,,library of congress name authority file
159,Grolier Club,,library of congress name authority file
160,Jargon Society,,library of congress name authority file
161,New York Public Library,,library of congress name authority file
162,Elmer Holmes Bobst Library,,library of congress name authority file
163,Stinehour Press,,library of congress name authority file
164,"Living Theatre (New York, N.Y.)",,library of congress name authority file
165,Spencer A. Samuels & Company,,library of congress name authority file
166,Edizioni futuriste di Poesia,,library of congress name authority file
167,F. Weber & Co.,,library of congress name authority file
168,"Janentzky and Weber, Manufacturers and Importers",,
169,Abdullah frères,,library of congress name authority file
170,Apollon (Firm),,library of congress name authority file
171,Léon & Levy (Firm),,library of congress name authority file
172,Mandrágora (Group),,library of congress name authority file
173,Phaidon Press,,library of congress name authority file
174,Barnard College,,library of congress name authority file
175,Carnegie Museum of Art,,library of congress name authority file
176,"Christie, Manson & Woods International Inc.",,library of congress name authority file
177,"Christie, Manson & Woods",,library of congress name authority file
178,"Columbia College (New York, N.Y.)",,library of congress name authority file
179,Dorotheum (Firm),,library of congress name authority file
180,"Galerie Meissner (Zurich, Switzerland)",,library of congress name authority file
181,Gruner + Jahr AG,,library of congress name authority file
182,Heim Gallery,,library of congress name authority file
183,Historians of Netherlandish Art,,library of congress name authority file
185,National Gallery of Art (U.S.),,library of congress name authority file
186,Newhouse Galleries,,library of congress name authority file
187,"Norton Simon, Inc. Foundation ",,library of congress name authority file
188,Pierpont Morgan Library,,library of congress name authority file
189,Ponce Art Museum,,library of congress name authority file
190,Princeton University Press,,library of congress name authority file
191,Richard L. Feigen & Company,,library of congress name authority file
192,Sotheby Parke Bernet & Co.,,library of congress name authority file
193,Sotheby's (Firm),,library of congress name authority file
194,Sterling and Francine Clark Art Institute,,library of congress name authority file
195,Williams College,,library of congress name authority file
