ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
1088,Nicholas Wilder Gallery,,naf,Nicholas Wilder Gallery,http://id.loc.gov/authorities/names/no2011192534
1206,Instituto Nacional de Arqueología (Bolivia),n 50075969,library of congress name authority file,Instituto Nacional de Arqueología (Bolivia),http://id.loc.gov/authorities/names/n50075969
1223,Steven Leiber (Gallery),,naf,Steven Leiber (Gallery),http://id.loc.gov/authorities/names/nr96035772
1074,Stephen White Gallery of Photography,,library of congress name authority file,Stephen White Gallery of Photography,http://id.loc.gov/authorities/names/n89638024
1005,AC Martin Partners,,library of congress name authority file,AC Martin Partners,http://id.loc.gov/authorities/names/no2003050180
1083,Adelphoi Zangaki (Firm),,lcnaf,Adelphoi Zangaki (Firm),http://id.loc.gov/authorities/names/no2009009260
1078,Pan-Presse,,library of congress name authority file,Pan-Presse,http://id.loc.gov/authorities/names/nb2015006917
1089,"Gesellschaft für Vervielfältigende Kunst (Vienna, Austria)",,lcnaf,"Gesellschaft für Vervielfältigende Kunst (Vienna, Austria)",http://id.loc.gov/authorities/names/n82105530
1210,Deutscher Guttempler-Orden,,lcnaf,Deutscher Guttempler-Orden,http://id.loc.gov/authorities/names/n79122822
1216,Kasseler Kunstverein,,lcnaf,Kasseler Kunstverein,http://id.loc.gov/authorities/names/n83039477
1217,Sächsischer Kunstverein,,lcnaf,Sächsischer Kunstverein,http://id.loc.gov/authorities/names/no2010099823
9,Getty Grant Program,,library of congress name authority file,Getty Grant Program,http://id.loc.gov/authorities/names/nr99012522
23,Mutter Ey G.m.b.H.,,library of congress name authority file,Mutter Ey G.m.b.H.,http://id.loc.gov/authorities/names/no2004033272
24,Association Connaissance de l'histoire de l'Afrique contemporaine,,library of congress name authority file,Association Connaissance de l'histoire de l'Afrique contemporaine,http://id.loc.gov/authorities/names/no93015834
25,France. Armée. Méharistes,,library of congress name authority file,France. Armée. Méharistes,http://id.loc.gov/authorities/names/n93039597
26,France. Armée. Tirailleurs sénégalais,,library of congress name authority file,France. Armée. Tirailleurs sénégalais,http://id.loc.gov/authorities/names/n85073938
27,France. Armée. Troupes coloniales,,library of congress name authority file,France. Armée. Troupes coloniales,http://id.loc.gov/authorities/names/n87131624
29,Exposition coloniale de Marseille (1906),,library of congress name authority file,Exposition coloniale de Marseille (1906),http://id.loc.gov/authorities/names/nr95013596
31,Exposition coloniale internationale de Paris (1931),,library of congress name authority file,Exposition coloniale internationale de Paris (1931),http://id.loc.gov/authorities/names/n84187744
32,A.D.I.A.,,,A.D.I.A.,http://id.loc.gov/authorities/names/n80125215
37,Casino (Firm),,library of congress name authority file,Casino (Firm),http://id.loc.gov/authorities/names/nb2006006474
44,Combier Imprimeur Mâcon,,library of congress name authority file,Combier Imprimeur Mâcon,http://id.loc.gov/authorities/names/nb2006007709
48,Eckstein-Halpaus,,library of congress name authority file,Eckstein-Halpaus,http://id.loc.gov/authorities/names/n91076515
50,"Imagerie Pellerin (Épinal, France)",,library of congress name authority file,"Imagerie Pellerin (Épinal, France)",http://id.loc.gov/authorities/names/n85240571
55,Office algérien d'action economique et touristique,,,Office algérien d'action economique et touristique,http://id.loc.gov/authorities/names/no94021782
62,Brooklyn Museum,,library of congress name authority file,Brooklyn Museum,http://id.loc.gov/authorities/names/n79063288
64,Tennessee Valley Authority,,library of congress name authority file,Tennessee Valley Authority,http://id.loc.gov/authorities/names/n80126249
65,Nicholas Grimshaw and Partners,,library of congress name authority file,Nicholas Grimshaw and Partners,http://id.loc.gov/authorities/names/n92038111
66,"Bauhaus-Archiv, Museum für Gestaltung",,library of congress name authority file,"Bauhaus-Archiv, Museum für Gestaltung",http://id.loc.gov/authorities/names/n80129378
68,Dordogne (France),,library of congress name authority file,Dordogne (France),http://id.loc.gov/authorities/names/n50066569
69,Henry E. Huntington Library and Art Gallery,,library of congress name authority file,Henry E. Huntington Library and Art Gallery,http://id.loc.gov/authorities/names/n79049138
70,New York University. Institute of Fine Arts,,library of congress name authority file,New York University. Institute of Fine Arts,http://id.loc.gov/authorities/names/n81032832
71,Tamarind Lithography Workshop,,library of congress name authority file,Tamarind Lithography Workshop,http://id.loc.gov/authorities/names/n50067401
74,Virginia Steele Scott Gallery,,library of congress name authority file,Virginia Steele Scott Gallery,http://id.loc.gov/authorities/names/n87945353
76,Kennedy Galleries,,library of congress name authority file,Kennedy Galleries,http://id.loc.gov/authorities/names/n79058452
77,Vose Galleries of Boston,,library of congress name authority file,Vose Galleries of Boston,http://id.loc.gov/authorities/names/n85813791
78,Galerie Bonnier,,library of congress name authority file,Galerie Bonnier,http://id.loc.gov/authorities/names/n85813086
79,"Svensk-franska konstgalleriet (Stockholm, Sweden) ",,library of congress name authority file,"Svensk-franska konstgalleriet (Stockholm, Sweden) ",http://id.loc.gov/authorities/names/no93021466
81,Galerie Durand-Ruel,,library of congress name authority file,Galerie Durand-Ruel,http://id.loc.gov/authorities/names/n50058608
82,Galerie Louis Carré,,library of congress name authority file,Galerie Louis Carré,http://id.loc.gov/authorities/names/n81119781
84,Musèe Rodin,,library of congress name authority file,Musèe Rodin,http://id.loc.gov/authorities/names/n50054666
85,Arnoldo Mondadori editore,,library of congress name authority file,Arnoldo Mondadori editore,http://id.loc.gov/authorities/names/n50005113
86,Bompiani (Firm),,library of congress name authority file,Bompiani (Firm),http://id.loc.gov/authorities/names/n81084621
88,Beaulieu Abbey,,library of congress name authority file,Beaulieu Abbey,http://id.loc.gov/authorities/names/n50077068
91,"St. Mary's Hospital (Chichester, England)",,,"St. Mary's Hospital (Chichester, England)",http://id.loc.gov/authorities/names/nb2017022504
94,United States. Army ,,library of congress name authority file,United States. Army ,http://id.loc.gov/authorities/names/n79063202
95,Musée des arts décoratifs (France),,library of congress name authority file,Musée des arts décoratifs (France),http://id.loc.gov/authorities/names/n80046802
96,"Union centrale des arts décoratifs (Paris, France)",,library of congress name authority file,"Union centrale des arts décoratifs (Paris, France)",http://id.loc.gov/authorities/names/n50056281
97,"Exposition universelle de 1889 (Paris, France)",,library of congress name authority file,"Exposition universelle de 1889 (Paris, France)",http://id.loc.gov/authorities/names/n83172132
99,International Congresses for Modern Architecture. Belgian Section ,,library of congress name authority file,International Congresses for Modern Architecture. Belgian Section ,http://id.loc.gov/authorities/names/nr2002021394
101,Team 10,,library of congress name authority file,Team 10,http://id.loc.gov/authorities/names/n91090111
112,8 (Group of architects),,library of congress name authority file,8 (Group of architects),http://id.loc.gov/authorities/names/nr98003293
113,ASCORAL,,library of congress name authority file,ASCORAL,http://id.loc.gov/authorities/names/nr2002021314
114,British Council (Belgium),,library of congress name authority file,British Council (Belgium),http://id.loc.gov/authorities/names/nb2006022989
116,Modern Architectural Research Group,,library of congress name authority file,Modern Architectural Research Group,http://id.loc.gov/authorities/names/no88001581
117,Opbouw (Group of architects),,library of congress name authority file,Opbouw (Group of architects),http://id.loc.gov/authorities/names/nr98003302
118,Mayor Gallery,,library of congress name authority file,Mayor Gallery,http://id.loc.gov/authorities/names/n82109882
119,Museo del Prado,,library of congress name authority file,Museo del Prado,http://id.loc.gov/authorities/names/n79064568
120,Tate Gallery,,library of congress name authority file,Tate Gallery,http://id.loc.gov/authorities/names/n80046785
121,William and Noma Copley Foundation,,library of congress name authority file,William and Noma Copley Foundation,http://id.loc.gov/authorities/names/no97002407
127,Galerie Georges Petit,,library of congress name authority file,Galerie Georges Petit,http://id.loc.gov/authorities/names/n81060022
131,"Society of Dilettanti (London, England)",,library of congress name authority file,"Society of Dilettanti (London, England)",http://id.loc.gov/authorities/names/no2003029573
133,Durlacher Bros.,,library of congress name authority file,Durlacher Bros.,http://id.loc.gov/authorities/names/nr98039061
134,Duveen Brothers,,library of congress name authority file,Duveen Brothers,http://id.loc.gov/authorities/names/nr97027536
135,"F. Kleinberger Galleries (New York, N.Y.) ",,library of congress name authority file,"F. Kleinberger Galleries (New York, N.Y.) ",http://id.loc.gov/authorities/names/n2006165845
136,"Wildenstein and Company (New York, N.Y.)",,library of congress name authority file,"Wildenstein and Company (New York, N.Y.)",http://id.loc.gov/authorities/names/n50052707
137,Thos. Agnew and Sons Ltd.,,library of congress name authority file,Thos. Agnew and Sons Ltd.,http://id.loc.gov/authorities/names/n78013823
141,Deutscher Kunstverlag,,library of congress name authority file,Deutscher Kunstverlag,http://id.loc.gov/authorities/names/n81123410
142,Deutscher Werkbund,,library of congress name authority file,Deutscher Werkbund,http://id.loc.gov/authorities/names/n50065876
144,"Nicholas Roerich Museum (New York, N.Y.)",,library of congress name authority file,"Nicholas Roerich Museum (New York, N.Y.)",http://id.loc.gov/authorities/names/n87143306
149,Eisenman Architects,,library of congress name authority file,Eisenman Architects,http://id.loc.gov/authorities/names/n91123614
150,British Museum,,library of congress name authority file,British Museum,http://id.loc.gov/authorities/names/n79107735
151,Ayasofya Müzesi,,library of congress name authority file,Ayasofya Müzesi,http://id.loc.gov/authorities/names/n79058868
