ASpace_ID,Names,Authority_ID,Source
293,"Albers, Anni",no2007050246,lcnaf
360,"Bill, Max",http://id.loc.gov/authorities/names/n50011175,lcnaf
1844,"Bayer, Herbert",,lcnaf
1855,"Clemens, Roman",,lcnaf
4382,"Eisenstein, Sergei, 1898-1948",,library of congress name authority file
4383,"Frampton, Hollis, 1936-1984",,library of congress name authority file
4384,"Deren, Maya",,library of congress name authority file
4487,"Brady, Herbert Francis, 1854-1924",,ingest
4724,"Pearlman, Judith",no95023269,lcnaf
4725,"Allner, W. H. (Walter H.), 1909-2006",no2005050639,lcnaf
4726,"Feininger, T. Lux",n81098879,lcnaf
4728,"Gropius, Ise",n86143215,lcnaf
4729,"Muche, Georg, 1895-1987",n85043768,lcnaf
4730,"Nerdinger, Winfried",n82018298,lcnaf
4731,"Püschel, Konrad, 1907-",n98017079,lcnaf
4732,"Stölzl, Gunta, 1897-1983",n87949471,library of congress name authority file
4733,"Weininger, Andor, 1899-1986",nr91022623,library of congress name authority file
4734,"Weininger, Eva Fernbach, 1903-2007",n00006828,library of congress name authority file
4908,"Bizioli, Cézar",,lcnaf
5046,"Garzón, Rafael, 1863-1923",,local
5350,Voigt,,
5358,"Sevruguin, Antoin, 1851-1933","Sevruguin, Antoin",lcnaf
5688,"Chapman, Edward Francis, 1840-1926",,lcnaf
5693,"Payne, Oscar Birkett",,local
5681,"Schaur, Eda, 1945-",,library of congress name authority file
5284,"White, Stephen, 1938-",,library of congress name authority file
5285,"Penn, Irving",,library of congress name authority file
5286,"Barnbaum, Bruce, 1943-",,library of congress name authority file
5287,"Hammarskiöld, Hans, 1925-",,library of congress name authority file
4716,"Turnbull, Betty",,
4717,"Bischoff, Elmer",,
4718,"Park, David",,
4719,"Strombotne, James",,
4720,"Harden, Marvin",,
4721,"Henderson, Victor",,
4722,"Oliveira, Nathan",,
4723,"Lutjeans, Phyllis",,
4727,"Kauffman, Craig",,
5384,"Minns, Susan",,lcnaf
5392,"Plew, Walter, 1886-1956",,
5351,"Voigt, Fritz, printer ",,
5064,"Hervé, Lucien",n79127966,library of congress name authority file
5348,"Cohn, Erich , -1972",,
5347,"Hess, Julius, 1878-1957",,
5346,"Perl, Max",,
5354,"Ehlers-Kollwitz, Ottilie, 1900-1963",,library of congress name authority file
5345,"Muhlstock, Saul , -1999",,
5385,"Kollwitz, Peter, 1896-1914",,lcnaf
5394,"Wolf, Walter L. ",,
5395,"Wolf, Johanna, collector",,
5397,"Fingerhut, Max",,
5676,"Ernst, Robert, collector",,
5339,"Bonus, Beate, 1865-1954",,library of congress name authority file
5341,"Sindin, Edward",,
5675,"Graupe, Paul, 1881-1953",,lcnaf
5349,"Bohnke-Kollwitz, Jutta",,library of congress name authority file
5390,"Meyer, Franz, Dr. ",,
5391,"Noeske, Dr.",,
5361,"Beato, Antonio, -1903?",,lcnaf
5362,"Sébah, Pascal, 1823-1886",,lcnaf
5364,"Salzmann, Auguste",,lcnaf
5694,"Fox, Gordon",,
5396,"Erl, Ludwig von",,
5673,"Lerner, Abe, 1908-2002",,lcnaf
5344,"Schocken, Salman, 1877-1959",,library of congress name authority file
5352,"Kallir, Otto, 1894-1978",,library of congress name authority file
5343,"Goedeckemeyer, Helmut",,library of congress name authority file
5342,"Birkholz, Hermann",,library of congress name authority file
5687,"Nagel, Lotte, 1916-1930",,
5689,"Nisenson, Ann",,
5691,"Deyhle, Rolf",,lcnaf
5335,"Kollwitz, Hans, 1892-1971",,library of congress name authority file
5711,"Lewis, R. E. ",,lcnaf
5710,"Sumers, Martin, 1922-2012",,
5709,"Diogenes, -approximately 323 B.C.",,lcnaf
5708,"Joseph , (Son of Jacob)",,lcnaf
5337,"Kollwitz, Käthe, 1867-1945",,library of congress name authority file
5382,"Felsing, Wilhelm",,
5383,"Richter, Emil",,
5677,"Liebknecht, Karl Paul August Friedrich, 1871-1919",,lcnaf
5340,"Müller, Werner  Eberhard, -1967",,
5766,"Haferkorn, Arthur",,
5763,"Hummel, Alexander, 1856-1914",,
5333,"Felsing, Otto, 1854-",,library of congress name authority file
5765,"Klinger, Max, 1857-1920",,lcnaf
5393,"Stinnes, Heinrich, 1867-1932",,lcnaf
1885,"Neumann, J. B. (Jsrael Ber)",,library of congress name authority file
5770,"Bleichert, Max, 1875-1947",,lcnaf
5769,"Brandes, Georg, 1842-1927",,lcnaf
5764,"Grieb, E. W.",,
5772,"Hirzel, Georg, 1867-1924",,lcnaf
5686,"Farley, Malcolm F. ",no94000406,library of congress name authority file
4897,"Latham, John",,naf
5775,"Volkoff, Ivan",nr98041686,naf
5776,"Ver Heyden de Lancey, Cornelius, 1889-1984",nr2001027302,naf
5779,"Hallé, Noël, 1711-1781",nr95028473,naf
5780,"Robert, Hubert, 1733-1808",n81128260,naf
5781,"Vigée-Lebrun, Louise-Elisabeth, 1755-1842",n82110153,naf
5782,"Peyre, Marie-Joseph, 1730-1785",nr96029380,naf
5783,"Regnault, Jean-Baptiste, baron, 1754-1829",nb2007019874,naf
5784,"Restout, Jean-Bernard, 1732-1797",no2015052466,naf
5785,"Vien, Joseph-Marie, 1716-1809",nr89004810,naf
5786,"Largillierre, Nicolas de, 1656-1746",n85101518,naf
5791,"Duplessis, Joseph-Siffrède, 1725-1802",n85235630,naf
5792,"Chalgrin, Jean-François-Thérèse, 1739-1811",nr90013212,naf
5793,"Gabriel, Ange-Jacques, 1698-1782",n83221490,naf
5794,"Guiard, Laurent, 1723-1788",nr2002028362,naf
5795,"Roland, Philippe-Laurent, 1746-1816",no2013071504,naf
5771,"Helferich, H. (Heinrich), 1851-1945",,lcnaf
5336,"Becke, Alexander von der, 1902-1959",,
5900,"Gauldin, Anne",,ingest
5901,"Allyn, Jerri, 1952-",,ingest
5712,"Simms, Richard A., Dr.",,library of congress name authority file
5713,"Kollwitz, Käthe, 1867-1945",,library of congress name authority file
5719,"Kollwitz, Hans, 1892-1971",,library of congress name authority file
5740,"Müller, Werner Eberhard, -1967",,ingest
3846,"Shunk, Harry",,lcnaf
5998,Prince,n84079379,naf
5999,"McTest, Testy",,library of congress name authority file
1,Administrator,,local
7,Andra Darlington,,local
8,Ann Harrison,,local
9,Beth Guynn,,local
10,Isabella Zuralski,,local
11,Karen Meyer-Roux,,local
15,Emmabeth Nanol,,local
17,IA admin user,,local
18,SC Admin,,local
20,Lawrence Olliffe,,local
21,Linda Kleiger,,local
22,Teresa Soleau,,local
24,Jennifer Alcoset,,local
28,Tracey Schuster,,local
29,Pietro Rigolo,,local
30,Cameron Trowbridge,,local
31,Intern,,local
35,Alyx Rossetti,,local
45,Matt Moore,,local
46,Lyndsey Godwin,,local
66,"Weaver, Janet Croyle",,ingest
67,"Goodwin, George M.",,library of congress name authority file
68,"Olsberg, R. Nicholas",,library of congress name authority file
70,"Blackwell, Pamela",,
71,"Gray, Jack L.",,local
72,"Samuels, Spencer A.",,
73,"Smith, Alexis",,library of congress name authority file
76,"Davis, Lynn",,library of congress name authority file
79,"Zimberoff, Tom",,library of congress name authority file
80,"Gross, Valerie",,ingest
81,"Dayton, Kenneth N.",,
83,"Smith, Howard",,ingest
84,"Siza, Alvaro",,ingest
85,"Cooke, John F.",,local
86,"Allen, Susan Macall",,library of congress name authority file
89,"David d'Angers, Pierre-Jean",,library of congress name authority file
90,"Gudin, baron",,library of congress name authority file
91,"Ade, Mathilde",,library of congress name authority file
92,"Berthelon, Eugène",,local
93,"Cabanel, Alexandre",,library of congress name authority file
94,"Calmettes, Fernand",,library of congress name authority file
95,"Cazin, Jean-Charles",,library of congress name authority file
96,"Clairin, Georges",,library of congress name authority file
97,"Clésinger, Jean Baptiste",,local
98,"Colin, Paul Alfred",,local
99,"Dardoize, Emile",,library of congress name authority file
100,"David, Jules",,library of congress name authority file
101,"Desnoyers, Auguste Gaspard Louis, baron",,
102,"Detaille, Edouard",,library of congress name authority file
103,"Dubray, Vital Gabriel",,library of congress name authority file
104,"Duval-Lecamus, Pierre",,local
105,"Gérôme, Jean Léon",,library of congress name authority file
106,"Granet, François-Marius",,library of congress name authority file
107,"Gravillon, Arthur Antoine Alphonse de",,
108,"Guérin, Paulin-Jean-Baptiste",,library of congress name authority file
109,"Harpignies, Henri",,library of congress name authority file
110,"Hymans, Henri",,library of congress name authority file
111,"Lipinsky, Sigmund",,library of congress name authority file
112,"Lory, Matthias Gabriel",,library of congress name authority file
113,"Marold, Luděk ",,library of congress name authority file
114,"Miciol, Pierre",,
115,"Monnier, Henry",,library of congress name authority file
116,"Percier, Charles",,library of congress name authority file
117,"Rochet, Louis",,library of congress name authority file
129,"Albers, Josef",,library of congress name authority file
130,"Bartelletti, Aldo",,
131,"Bongard, Willi",,library of congress name authority file
132,"Desnoyer, François",,library of congress name authority file
133,"Joubin, Georges",,
134,"Lorjou, Bernard",,library of congress name authority file
135,"Mottet, Yvonne",,
136,"Diagne, Blaise",,library of congress name authority file
137,"Diouf, Galandou",,
138,"Foucauld, Charles de",,library of congress name authority file
139,"Lespinasse de Bournazel, Henry-Marie-Just de",,library of congress name authority file
140,"Lyautey, Louis Hubert Gonzalve",,library of congress name authority file
141,"Maginot, André",,library of congress name authority file
