ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
293,"Albers, Anni",no2007050246,lcnaf,"Albers, Anni",http://id.loc.gov/authorities/names/n80063365
1844,"Bayer, Herbert",,lcnaf,"Bayer, Herbert",http://id.loc.gov/authorities/names/n80078038
1855,"Clemens, Roman",,lcnaf,"Clemens, Roman",http://id.loc.gov/authorities/names/n93042014
4382,"Eisenstein, Sergei, 1898-1948",,library of congress name authority file,"Eisenstein, Sergei, 1898-1948",http://id.loc.gov/authorities/names/n79006562
4383,"Frampton, Hollis, 1936-1984",,library of congress name authority file,"Frampton, Hollis, 1936-1984",http://id.loc.gov/authorities/names/n81015232
4384,"Deren, Maya",,library of congress name authority file,"Deren, Maya",http://id.loc.gov/authorities/names/n83179417
4724,"Pearlman, Judith",no95023269,lcnaf,"Pearlman, Judith",http://id.loc.gov/authorities/names/no95023269
4725,"Allner, W. H. (Walter H.), 1909-2006",no2005050639,lcnaf,"Allner, W. H. (Walter H.), 1909-2006",http://id.loc.gov/authorities/names/no2005050639
4726,"Feininger, T. Lux",n81098879,lcnaf,"Feininger, T. Lux",http://id.loc.gov/authorities/names/n81098879
4728,"Gropius, Ise",n86143215,lcnaf,"Gropius, Ise",http://id.loc.gov/authorities/names/n86143215
4729,"Muche, Georg, 1895-1987",n85043768,lcnaf,"Muche, Georg, 1895-1987",http://id.loc.gov/authorities/names/n85043768
4730,"Nerdinger, Winfried",n82018298,lcnaf,"Nerdinger, Winfried",http://id.loc.gov/authorities/names/n82018298
4731,"Püschel, Konrad, 1907-",n98017079,lcnaf,"Püschel, Konrad, 1907-",http://id.loc.gov/authorities/names/n98017079
4732,"Stölzl, Gunta, 1897-1983",n87949471,library of congress name authority file,"Stölzl, Gunta, 1897-1983",http://id.loc.gov/authorities/names/n87949471
4733,"Weininger, Andor, 1899-1986",nr91022623,library of congress name authority file,"Weininger, Andor, 1899-1986",http://id.loc.gov/authorities/names/nr91022623
4734,"Weininger, Eva Fernbach, 1903-2007",n00006828,library of congress name authority file,"Weininger, Eva Fernbach, 1903-2007",http://id.loc.gov/authorities/names/n00006828
5350,Voigt,,,Voigt,http://id.loc.gov/authorities/names/n85286149
5358,"Sevruguin, Antoin, 1851-1933","Sevruguin, Antoin",lcnaf,"Sevruguin, Antoin, 1851-1933",http://id.loc.gov/authorities/names/n99037799
