INFO 2019-08-27 09:13:10,869   {'status': 'OK'},293,6024,Albers, Anni
INFO 2019-08-27 09:13:23,434   {'status': 'OK'},1844,6025,Bayer, Herbert
INFO 2019-08-27 09:13:35,979   {'status': 'OK'},1855,6026,Clemens, Roman
INFO 2019-08-27 09:13:50,055   {'status': 'OK'},4382,6027,Eisenstein, Sergei
INFO 2019-08-27 09:14:02,582   {'status': 'OK'},4383,6028,Frampton, Hollis
INFO 2019-08-27 09:14:15,572   {'status': 'OK'},4384,6029,Deren, Maya
INFO 2019-08-27 09:14:28,067   {'status': 'OK'},5350,6040,Voigt
INFO 2019-08-27 09:14:48,094   {'status': 'OK'},5358,6041,Sevruguin, Antoin, 1851-1933
INFO 2019-08-27 09:15:00,659   {'status': 'OK'},5688,6042,Chapman, Edward Francis, 1840-1926
INFO 2019-08-27 09:15:14,176   {'status': 'OK'},5681,6043,Schaur, Eda, 1945-
INFO 2019-08-27 09:37:19,382   {'status': 'OK'},5284,6044,White, Stephen, 1938-
INFO 2019-08-27 09:37:32,239   {'status': 'OK'},5285,6045,Penn, Irving
INFO 2019-08-27 09:37:56,115   {'status': 'OK'},5286,6046,Barnbaum, Bruce, 1943-
INFO 2019-08-27 09:38:12,096   {'status': 'OK'},5287,6047,Hammarskiöld, Hans, 1925-
INFO 2019-08-27 09:38:26,034   {'status': 'OK'},4718,6048,Park, David
INFO 2019-08-27 09:38:40,064   {'status': 'OK'},4719,6049,Strombotne, James
INFO 2019-08-27 09:38:56,054   {'status': 'OK'},5384,6050,Minns, Susan
INFO 2019-08-27 09:39:08,755   {'status': 'OK'},5354,6051,Ehlers-Kollwitz, Ottilie, 1900-1963
INFO 2019-08-27 09:39:21,360   {'status': 'OK'},5385,6052,Kollwitz, Peter, 1896-1914
INFO 2019-08-27 09:39:33,873   {'status': 'OK'},5339,6053,Bonus, Beate, 1865-1954
INFO 2019-08-27 09:39:46,323   {'status': 'OK'},5675,6054,Graupe, Paul, 1881-1953
INFO 2019-08-27 09:40:00,647   {'status': 'OK'},5349,6055,Bohnke-Kollwitz, Jutta
INFO 2019-08-27 09:40:14,189   {'status': 'OK'},5361,6056,Beato, Antonio, -1903?
INFO 2019-08-27 09:40:28,142   {'status': 'OK'},5362,6057,Sébah, Pascal, 1823-1886
INFO 2019-08-27 09:40:42,159   {'status': 'OK'},5364,6058,Salzmann, Auguste
INFO 2019-08-27 09:40:56,167   {'status': 'OK'},5673,6059,Lerner, Abe, 1908-2002
INFO 2019-08-27 09:41:08,700   {'status': 'OK'},5344,6060,Schocken, Salman, 1877-1959
INFO 2019-08-27 09:41:22,646   {'status': 'OK'},5352,6061,Kallir, Otto, 1894-1978
INFO 2019-08-27 09:41:35,149   {'status': 'OK'},5343,6062,Goedeckemeyer, Helmut
INFO 2019-08-27 09:41:48,523   {'status': 'OK'},5342,6063,Birkholz, Hermann
INFO 2019-08-27 09:42:01,079   {'status': 'OK'},5691,6064,Deyhle, Rolf
